voltage,current,power,pf,z
225.7,1.085,204.9,0.84,208.0
225.6,1.084,204.6,0.84,208.1
225.6,1.084,204.6,0.84,208.1
225.7,1.085,204.8,0.84,208.0
225.7,1.085,204.8,0.84,208.0
225.8,1.087,205.2,0.84,207.7
225.8,1.087,205.2,0.84,207.7
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.6,1.084,204.6,0.84,208.1
225.6,1.084,204.6,0.84,208.1
225.8,1.086,205.1,0.84,207.9
225.8,1.086,205.1,0.84,207.9
225.8,1.087,205.1,0.84,207.7
225.8,1.087,205.1,0.84,207.7
225.8,1.087,205,0.84,207.7
225.8,1.087,205,0.84,207.7
225.8,1.087,204.8,0.83,207.7
225.8,1.086,204.8,0.84,207.9
225.8,1.086,204.8,0.84,207.9
225.8,1.087,205,0.84,207.7
225.8,1.087,205,0.84,207.7
225.8,1.086,204.9,0.84,207.9
225.7,1.084,204.5,0.84,208.2
225.7,1.084,204.5,0.84,208.2
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.8,1.087,205,0.84,207.7
225.8,1.087,205,0.84,207.7
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.7,1.085,204.7,0.84,208.0
225.7,1.085,204.7,0.84,208.0
225.6,1.084,204.4,0.84,208.1
225.6,1.084,204.4,0.84,208.1
225.7,1.085,204.9,0.84,208.0
225.7,1.085,204.9,0.84,208.0
225.8,1.085,204.7,0.84,208.1
225.8,1.085,204.7,0.84,208.1
225.8,1.086,204.8,0.84,207.9
225.8,1.086,204.8,0.84,207.9
225.8,1.085,204.7,0.84,208.1
225.8,1.085,204.7,0.84,208.1
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.8,0.84,207.9
225.8,1.086,204.8,0.84,207.9
225.9,1.086,205,0.84,208.0
225.9,1.086,205,0.84,208.0
225.8,1.086,204.9,0.84,207.9
225.8,1.086,204.9,0.84,207.9
225.7,1.084,204.6,0.84,208.2
225.7,1.084,204.6,0.84,208.2
225.7,1.084,204.6,0.84,208.2
225.7,1.084,204.6,0.84,208.2
225.7,1.084,204.7,0.84,208.2
225.7,1.084,204.7,0.84,208.2
225.8,1.085,204.6,0.84,208.1
225.8,1.085,204.6,0.84,208.1
225.8,1.086,204.7,0.83,207.9
225.8,1.086,204.7,0.83,207.9
225.7,1.085,204.7,0.84,208.0
225.7,1.085,204.7,0.84,208.0
225.8,1.085,204.6,0.84,208.1
225.8,1.085,204.6,0.84,208.1
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.7,1.086,204.7,0.84,207.8
225.7,1.086,204.7,0.84,207.8
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.8,1.086,204.8,0.84,207.9
225.8,1.086,204.8,0.84,207.9
225.8,1.087,204.7,0.83,207.7
225.8,1.087,204.7,0.83,207.7
226,1.088,205.2,0.83,207.7
226,1.088,205.2,0.83,207.7
225.9,1.088,205.1,0.83,207.6
225.9,1.088,205.1,0.83,207.6
226,1.088,205.3,0.83,207.7
226,1.088,205.3,0.83,207.7
226,1.088,205.3,0.83,207.7
226,1.088,205.1,0.83,207.7
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205,0.83,207.8
225.9,1.087,205,0.83,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205,0.83,207.8
225.9,1.087,205,0.83,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.087,205.1,0.84,207.8
225.9,1.086,204.8,0.83,208.0
225.9,1.086,204.8,0.83,208.0
225.8,1.086,204.7,0.83,207.9
225.8,1.086,204.7,0.83,207.9
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.8,1.086,205,0.84,207.9
225.8,1.086,205,0.84,207.9
225.9,1.086,205,0.84,208.0
225.9,1.086,205,0.84,208.0
225.8,1.086,204.7,0.83,207.9
225.8,1.086,204.7,0.83,207.9
225.7,1.084,204.6,0.84,208.2
225.7,1.084,204.6,0.84,208.2
225.6,1.084,204.3,0.84,208.1
225.6,1.084,204.3,0.84,208.1
225.6,1.084,204.3,0.84,208.1
225.6,1.084,204.3,0.84,208.1
225.7,1.084,204.3,0.84,208.2
225.7,1.084,204.3,0.84,208.2
225.7,1.084,204.3,0.84,208.2
225.7,1.084,204.3,0.84,208.2
225.7,1.085,204.5,0.84,208.0
225.7,1.085,204.5,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.7,1.085,204.6,0.84,208.0
225.6,1.084,204.3,0.84,208.1
225.6,1.084,204.3,0.84,208.1
225.5,1.083,204.1,0.84,208.2
225.5,1.083,204.1,0.84,208.2
225.5,1.083,204.2,0.84,208.2
225.5,1.083,204.2,0.84,208.2
225.5,1.084,204.2,0.84,208.0
225.5,1.084,204.2,0.84,208.0
225.5,1.085,204.1,0.83,207.8
225.5,1.085,204.1,0.83,207.8
225.3,1.082,203.6,0.84,208.2
225.3,1.082,203.6,0.84,208.2
225.3,1.082,203.5,0.83,208.2
225.3,1.082,203.5,0.83,208.2
225.4,1.085,204,0.83,207.7
225.4,1.085,204,0.83,207.7
225.5,1.086,204.3,0.83,207.6
225.5,1.086,204.3,0.83,207.6
225.6,1.086,204.4,0.83,207.7
225.6,1.086,204.4,0.83,207.7
